order_item_id,order_id,product_id,quantity,price_at_purchase
1,1,86,2,829.95
2,1,37,3,611.39
3,1,45,2,868.79
4,1,45,5,863.36
5,1,89,2,1970.8
6,2,74,5,23413.95
7,2,52,2,2702.81
8,3,23,5,2062.09
9,3,52,1,3068.51
10,3,76,1,13712.67
11,3,33,3,1647.66
12,4,396,3,452.18
13,4,46,3,491.17
14,5,40,4,299.04
15,5,78,5,762.59
16,5,86,5,777.85
17,6,208,1,5287.52
18,6,27,4,2112.57
19,6,37,5,685.08
20,7,45,5,942.33
21,7,210,4,974.01
22,8,43,4,528.64
23,8,82,3,1053.01
24,8,30,2,1274.99
25,8,46,2,479.0
26,8,79,5,810.94
27,9,48,3,396.6
28,9,79,1,949.56
29,9,28,4,1819.92
30,10,475,5,852.26
31,10,82,2,1179.54
32,10,50,4,92.84
33,10,28,4,1678.76
34,11,263,4,2324.06
35,11,85,4,973.04
36,12,88,5,871.49
37,12,177,5,1671.74
38,12,262,5,1568.1
39,12,28,1,1613.84
40,13,43,4,542.77
41,13,352,5,1449.72
42,14,174,2,467.59
43,14,83,3,1933.32
44,14,38,4,136.28
45,14,298,2,2017.98
46,14,38,4,151.7
47,15,94,3,19440.07
48,15,83,4,2105.23
49,16,24,2,5706.58
50,16,41,1,409.69
51,16,440,3,966.56
52,16,42,1,696.89
53,16,47,5,511.13
54,17,41,4,403.69
55,17,80,5,312.66
56,17,167,4,647.39
57,18,478,2,1432.9
58,18,128,3,205.6
59,18,49,1,352.59
60,18,46,1,473.33
61,19,40,5,274.19
62,19,352,4,1262.75
63,19,80,4,301.64
64,20,81,3,920.99
65,20,45,3,879.72
66,20,42,3,693.18
67,21,78,1,796.93
68,22,21,3,2566.45
69,22,176,1,1805.54
70,23,87,2,309.63
71,23,11,5,9289.96
72,23,90,2,8563.32
73,24,60,2,4945.42
74,24,71,5,9025.13
75,24,5,1,10402.63
76,25,87,1,320.03
77,25,226,4,436.68
78,25,83,4,2141.52
79,26,401,3,431.62
80,26,48,4,397.94
81,26,81,3,899.92
82,27,87,1,276.53
83,27,84,4,411.63
84,27,42,1,714.53
85,27,88,3,771.37
86,28,28,3,1836.43
87,28,86,3,920.3
88,28,81,2,848.87
89,28,45,1,873.21
90,29,37,3,658.03
91,29,23,2,1787.14
92,29,32,2,1577.32
93,30,176,5,1637.94
94,30,38,5,147.39
95,30,136,4,168.49
96,31,291,5,699.3
97,31,50,3,100.76
98,31,41,4,452.61
99,31,43,3,550.93
100,32,89,3,1971.64
101,32,303,5,265.33
102,32,85,2,1042.17
103,33,91,2,11155.96
104,33,424,5,8181.16
105,33,11,2,8889.76
106,34,38,5,137.19
107,34,84,1,462.91
108,34,353,1,573.83
109,35,41,4,420.38
110,35,41,5,413.75
111,35,43,5,542.3
112,36,42,2,792.92
113,36,49,1,346.23
